candidate_id,company_name,city,domain,website,segment,signal_summary,signal_source,pain_hypothesis,fit,intent,timing,total,email_status,next_action
cand_155231a8a3,Fabio Salsa,Paris,fabiosalsa.com,https://www.fabiosalsa.com/salon-3310/salon/32-rue-saint-denis-92700-colombes,Segment C — Groupe ou réseau de salons,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage, blond; services/mentions soin/lissage: soin, soins, réparation; positionnement expert/premium: expert, expertise, sur-mesure; signal formation/academy: formation",https://www.fabiosalsa.com/salon-3310/salon/32-rue-saint-denis-92700-colombes,"Besoin probable de standardiser les produits, la formation et la qualité entre plusieurs salons ou une marque de réseau.",5,5,3.0,4.6,not_found,lead_enrichment
cand_7290be4db9,Bonhomme,Nantes,bonhomme.com,https://www.bonhomme.com/salon/nantes/,Segment C — Groupe ou réseau de salons,"services/mentions coloration: coloration; services/mentions balayage/blond: ombre; services/mentions soin/lissage: soin, soins, traitement; positionnement expert/premium: expert, expertise, maison; signal formation/academy: formation",https://www.bonhomme.com/salon/nantes/,"Besoin probable de standardiser les produits, la formation et la qualité entre plusieurs salons ou une marque de réseau.",5,4.9,3.0,4.56,not_found,lead_enrichment
cand_f0d1ad434f,Célestine,Paris,eidfbat.wordpress.com,https://eidfbat.wordpress.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage; services/mentions soin/lissage: soin, soins, réparation, lissage; positionnement expert/premium: expert, luxe; signal formation/academy: formation",https://eidfbat.wordpress.com/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,5,3.0,4.55,not_found,lead_enrichment
cand_713233955b,Salon Hanna,Paris,salonhanna.fr,https://salonhanna.fr/,Segment B — Studio coloriste / expert blond et balayage,"services/mentions coloration: coloration, couleur, coloriste; services/mentions balayage/blond: balayage, ombre, mèches; services/mentions soin/lissage: soin, soins, kératine, lissage; positionnement expert/premium: expert, expertise; signal formation/academy: formation",https://salonhanna.fr/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,5,3.0,4.55,not_found,lead_enrichment
cand_f520b9045d,Beauty Zen,Paris,beauty-zen.fr,https://beauty-zen.fr/,Segment A — Salon premium orienté coloration,"services/mentions coloration: couleur, coloriste; services/mentions balayage/blond: balayage; services/mentions soin/lissage: soin, soins, lissage; positionnement expert/premium: expert, expertise, studio, sur mesure; signal formation/academy: formateur",https://beauty-zen.fr/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,5,3.0,4.55,not_found,lead_enrichment
cand_0d97bcbbdb,Bons Plans Coiffure,Haubourdin,bonsplans-coiffure.fr,https://bonsplans-coiffure.com/,Segment C — Groupe ou réseau de salons,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage, blond, ombre, mèches; services/mentions soin/lissage: soin, soins; positionnement expert/premium: expert, expertise; signal formation/academy: formation",https://bonsplans-coiffure.com/,"Besoin probable de standardiser les produits, la formation et la qualité entre plusieurs salons ou une marque de réseau.",4.9,5,3.0,4.55,not_found,lead_enrichment
cand_35e80015c1,Pause Coiffure - Coiffeur Vertou,Nantes,moncoiffeur.fr,https://www.moncoiffeur.fr/coiffeur/pause-coiffure-vertou,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur, gloss, patine; services/mentions balayage/blond: balayage, ombré, mèches; services/mentions soin/lissage: soin, soins, lissage; positionnement expert/premium: expert, expertise, sur mesure, diagnostic; signal formation/academy: formation",https://www.moncoiffeur.fr/coiffeur/pause-coiffure-vertou,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,5,3.0,4.55,not_found,lead_enrichment
cand_f111088227,Mod's Hair,Paris,modshair.com,https://www.modshair.com,Segment A — Salon premium orienté coloration,"services/mentions coloration: couleur, gloss; services/mentions balayage/blond: balayage, ombre; services/mentions soin/lissage: soin; positionnement expert/premium: studio, maison; signal formation/academy: formation",https://www.modshair.com,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.8,3.0,4.48,not_found,lead_enrichment
cand_139993bed4,Shampoo Expert,Lille,shampoo.fr,https://www.shampoo.fr/salon/v2/,Segment A — Salon premium orienté coloration,"services/mentions coloration: couleur; services/mentions balayage/blond: balayage, ombre; services/mentions soin/lissage: soin; positionnement expert/premium: expert, maison, diagnostic; signal formation/academy: formation",https://www.shampoo.fr/salon/v2/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.8,3.0,4.48,not_found,lead_enrichment
cand_e0736960f1,La Maison du Coiffeur,Nantes,la-maison-du-coiffeur.com,https://la-maison-du-coiffeur.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage, mèches; services/mentions soin/lissage: soin, lissage; positionnement expert/premium: maison; signal formation/academy: formation",https://la-maison-du-coiffeur.com/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.8,3.0,4.48,not_found,lead_enrichment
